Vocabulary,Монгол орчуулга,Meaning & Example,Монгол орчуулга,жишээ орчуулга
～はい/ばい/ぱい,* аягатай зүйл тоолох нөхцөл,,cups of ...
いっぱい、にはい、さんばい・・・ one, two three (cup of ...),,* аягатай зүйл тоолох нөхцөл,,1 аяга, 2 аяга, 3 аяга,
～はん,хагас,,half
いま 9じ半です。It's 9:30 now.,,хагас,Одоо 9 цаг хагас болж байна.
～ばん,дугаар,,No. ...
１ばん、２ばん、３ばん・・・ No.1, No.2, No.3 ...,,дугаар,Дугаар 1 дугаар 2 дугаар 3.
～ひき/びき/ぴき,* амьтан тоолох нөхцөл,,counter for animal
いっぴき、にひき、さんびき・・・ one (animal), two (animals), three (animals),,* амьтан тоолох нөхцөл,
～ふん/ぷん,* минут тоолох нөхцөл,,... minute(s)
いっぷん、にふん、さんぷん・・・ 1 minute, 2 minutes, 3 minutes,,* минут тоолох нөхцөл,,1 минут ,2 минут , 3 минут,
～ページ,хуудас,,... page
13ページを みてください。Please look at page 13.,,хуудас,Хуудас 13-ыг харна уу.
～ほん/ぼん/ぽん,* урт нарийн зүйлийн т/ш хэлэх нөхцөл,,counter for long object
かさが 3本 あります。I have three umbrellas.,,* урт нарийн зүйлийн т/ш хэлэх нөхцөл,Шүхэр 3 ширхэг байна.
～まい,* хавтгай нимгэн зүйлийн т/ш хэлэх нөхцөл,,counter for thin object
かみを １まい ください。Please give me a piece of paper.,,* хавтгай нимгэн зүйлийн т/ш хэлэх нөхцөл,Цааснаас 1 ширхгийг өгөөч.
～まえ,,урд, өмнө,,,... ago
2ねん前に にほんに きました。I came to Japan two years ago. before ...
レッスンの 前に トイレに いきます。Go to the bathroom before the lesson.,,,урд, өмнө,,2 жилийн өмнө Японд ирсэн.
～メートル,метр,,... meter
１メートル、1.5メートル、２メートル 1 meter, 1.5 meters, 2 meters,,метр,Хичээл эхлэхийн өмнө ариун цэврийн өрөө орно
～や,,болон, ба,,,... store, ... shop
すしや、さかなや、にくや、ケーキや... Sushi shop, Fish shop, Butcher shop, Cake shop ...,,,болон, ба,,,Сүшиний дэлгүүр, загасны дэлгүүр, махны дэлгүүр, тортны, дэлгүүр,
あいます,уулзах,,see (a person), meet
ともだちに/と 会います。I will see my friend.,,уулзах,Найзтайгаа уулзана.
あおい,цэнхэр,,blue [i-adj.]
あおいボールペン。Blue ballpoint pen,,цэнхэр,Цэнхэр үзгэн бал.
あか,улаан [н.ү],,red [noun]
赤で かきます。Write in red.,,улаан [н.ү],Улаанаар бичнэ.
あかい,улаан [т.н],,red [i-adj.]
赤いボールペン Red ballpoint pen,,улаан [т.н],
あがります,өсөх,,go up
エレベーターで 15かいに あがります。Take the elevator to the 15th floor.,,өсөх,Цахилгаан шатаар 15 давхар руу өгсөнө.
あかるい,гэрэлтэй,,bright, light [i-adj.]
このへやは あかるいです。The room is bright.,,гэрэлтэй,Энэ Өрөө бол саруулхан/ гэрэлтэй.
あき,намар,,autumn, fall
あきが すきです。I like autumn.,,намар,Би намрын улиралд дуртай.
あきます,нээгдэх,,open
